SNR (dB),PER
8.241189891054951,1.0
9.241189891054951,1.0
10.241189891054951,1.0
11.241189891054951,0.7
12.241189891054951,0.5
13.241189891054951,0.5
14.241189891054951,0.3
15.241189891054951,0.2
16.24118989105495,0.1
17.24118989105495,0.0
18.24118989105495,0.0
19.24118989105495,0.0
20.24118989105495,0.0
21.24118989105495,0.0
22.24118989105495,0.0
23.24118989105495,0.0
24.24118989105495,0.0
25.24118989105495,0.0
26.24118989105495,0.0
27.24118989105495,0.0
28.24118989105495,0.0
29.24118989105495,0.0
30.24118989105495,0.0
31.24118989105495,0.0
32.24118989105495,0.0
33.24118989105495,0.0
34.24118989105495,0.0
35.24118989105495,0.0
36.24118989105495,0.0
37.24118989105495,0.0
38.24118989105495,0.0
39.24118989105495,0.0
40.24118989105495,0.0
41.24118989105495,0.0
42.24118989105495,0.0
